area_ha,area_sqkm,class_code,class_name,year
116785.09076325396,1167.8509076325397,1,Built-up,2025
217790.9684550141,2177.9096845501413,2,Vegetation,2025
217010.5267191418,2170.105267191418,3,Cropland,2025
174156.84559739893,1741.568455973989,4,Bare land,2025
9385.788844850618,93.8578884485062,5,Water,2025
135129.66732891698,1351.2966732891698,1,Built-up,2035
216690.56065474905,2166.90560654749,2,Vegetation,2035
201636.7521180464,2016.367521180464,3,Cropland,2035
172286.45143305408,1722.864514330541,4,Bare land,2035
9385.78884485062,93.8578884485062,5,Water,2035
