from_class,from_name,period,to_class,to_name,transition_probability
1,Built-up,2015-2025,1,Built-up,0.6484745668766869
1,Built-up,2015-2025,2,Vegetation,0.0503850845322018
1,Built-up,2015-2025,3,Cropland,0.1843751870797728
1,Built-up,2015-2025,4,Bare land,0.0991219785613426
1,Built-up,2015-2025,5,Water,0.0176431829499956
2,Vegetation,2015-2025,1,Built-up,0.0547048633612901
2,Vegetation,2015-2025,2,Vegetation,0.6585244167777627
2,Vegetation,2015-2025,3,Cropland,0.0888501647804884
2,Vegetation,2015-2025,4,Bare land,0.1800969354197479
2,Vegetation,2015-2025,5,Water,0.0178236196607106
3,Cropland,2015-2025,1,Built-up,0.1761132078977968
3,Cropland,2015-2025,2,Vegetation,0.076287958324938
3,Cropland,2015-2025,3,Cropland,0.5859796654931003
3,Cropland,2015-2025,4,Bare land,0.1612722931949124
3,Cropland,2015-2025,5,Water,0.00034687508925239954
4,Bare land,2015-2025,1,Built-up,0.0534536994033451
4,Bare land,2015-2025,2,Vegetation,0.2767893672917628
4,Bare land,2015-2025,3,Cropland,0.1594176723663239
4,Bare land,2015-2025,4,Bare land,0.4984948717525388
4,Bare land,2015-2025,5,Water,0.0118443891860293
5,Water,2015-2025,1,Built-up,0.0153416069369269
5,Water,2015-2025,2,Vegetation,0.0150921499135623
5,Water,2015-2025,3,Cropland,0.0082736579415947
5,Water,2015-2025,4,Bare land,0.0329699032546967
5,Water,2015-2025,5,Water,0.9283226819532192
